cau	nghia	cautruc	giaithich	nguphap	nghianguphap	url
1.&nbsp;&nbsp;もし<ruby>私<rp>（</rp><rt>わたし</rt><rp>）</rp></ruby>が<ruby>医者<rp>（</rp><rt>いしゃ</rt><rp>）</rp></ruby>だったら、<ruby>病気<rp>（</rp><rt>びょうき</rt><rp>）</rp></ruby>で<ruby>苦<rp>（</rp><rt>くる</rt><rp>）</rp></ruby>しむ<ruby>人<rp>（</rp><rt>ひと</rt><rp>）</rp></ruby>たちを<ruby>助<rp>（</rp><rt>たす</rt><rp>）</rp></ruby>けてあげられるのに。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Nếu tôi là bác sĩ, tôi sẽ giúp đỡ những người khổ vì bệnh tật.		▲▽ Hy vọng vào điều không có thật ở hiện tại/cảm thấy đáng tiếc	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
2.&nbsp;&nbsp;「<ruby>買<rp>（</rp><rt>か</rt><rp>）</rp></ruby>わないんですか」「ええ、もう<ruby>少<rp>（</rp><rt>すこ</rt><rp>）</rp></ruby>し<ruby>安<rp>（</rp><rt>やす</rt><rp>）</rp></ruby>ければ<ruby>買<rp>（</rp><rt>か</rt><rp>）</rp></ruby>うんですけど」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Bạn không mua sao?」「Ừ. Nếu rẻ hơn một chút nữa có lẽ sẽ mua」		▲▽ Hy vọng vào điều không có thật ở hiện tại/cảm thấy đáng tiếc	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
3.&nbsp;&nbsp;もし<ruby>生<rp>（</rp><rt>う</rt><rp>）</rp></ruby>まれ<ruby>変<rp>（</rp><rt>か</rt><rp>）</rp></ruby>わることができるのなら、<ruby>次<rp>（</rp><rt>つぎ</rt><rp>）</rp></ruby>は<ruby>男<rp>（</rp><rt>おとこ</rt><rp>）</rp></ruby>（／<ruby>女<rp>（</rp><rt>おんな</rt><rp>）</rp></ruby>）に<ruby>生<rp>（</rp><rt>う</rt><rp>）</rp></ruby>まれたい。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Nếu có thể được tái sinh, tôi muốn lần tiếp theo sinh ra là con trai (/con gái).		▲▽ Hy vọng vào điều không có thật ở hiện tại/cảm thấy đáng tiếc	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
4.&nbsp;&nbsp;<ruby>子<rp>（</rp><rt>こ</rt><rp>）</rp></ruby>どもがいなければ、もっと<ruby>働<rp>（</rp><rt>はたら</rt><rp>）</rp></ruby>けるのだが。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Nếu không có con, tôi sẽ làm việc nhiều hơn nữa.		▲▽ Hy vọng vào điều không có thật ở hiện tại/cảm thấy đáng tiếc	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
5.&nbsp;&nbsp;「すみません、<ruby>説明<rp>（</rp><rt>せつめい</rt><rp>）</rp></ruby>が<ruby>下手<rp>（</rp><rt>へた</rt><rp>）</rp></ruby>で。もっとうまく<ruby>説明<rp>（</rp><rt>せつめい</rt><rp>）</rp></ruby>できるといいんですが」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Xin lỗi. Bài diễn thuyết tệ quá. Lẽ ra tôi có thể diễn thuyết tốt hơn」		▲▽ Hy vọng vào điều không có thật ở hiện tại/cảm thấy đáng tiếc	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
1.&nbsp;&nbsp;もう<ruby>少<rp>（</rp><rt>すこ</rt><rp>）</rp></ruby>し<ruby>時間<rp>（</rp><rt>じかん</rt><rp>）</rp></ruby>があれば、<ruby>全部<rp>（</rp><rt>ぜんぶ</rt><rp>）</rp></ruby>できたのに。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Nếu có thêm chút thời gian nữa thì tôi đã có thể làm hết.		▲▽ Đáng tiếc là không thể làm khác với hiện thực.	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
2.&nbsp;&nbsp;「きのうの<ruby>交流会<rp>（</rp><rt>こうりゅうかい</rt><rp>）</rp></ruby>、<ruby>楽<rp>（</rp><rt>たの</rt><rp>）</rp></ruby>しかったよ。<ruby>鈴木<rp>（</rp><rt>すずき</rt><rp>）</rp></ruby>さんも<ruby>行<rp>（</rp><rt>い</rt><rp>）</rp></ruby>けばよかったのに」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Buổi giao lưu ngày hôm qua thật là vui. Nhưng đáng tiếc là ông Suzuki không thể tham gia」		▲▽ Đáng tiếc là không thể làm khác với hiện thực.	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
3.&nbsp;&nbsp;あのときもう<ruby>少<rp>（</rp><rt>すこ</rt><rp>）</rp></ruby>し<ruby>勇気<rp>（</rp><rt>ゆうき</rt><rp>）</rp></ruby>があったら、<ruby>彼<rp>（</rp><rt>かれ</rt><rp>）</rp></ruby>を<ruby>助<rp>（</rp><rt>たす</rt><rp>）</rp></ruby>けてあげられたかもしれない。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Nếu lúc đó nỗ lực thêm một chút thì rất có thể đã cứu được anh ấy.		▲▽ Đáng tiếc là không thể làm khác với hiện thực.	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
4.&nbsp;&nbsp;あと<ruby>少<rp>（</rp><rt>すこ</rt><rp>）</rp></ruby>しで<ruby>合格<rp>（</rp><rt>ごうかく</rt><rp>）</rp></ruby>できたのに。もうちょっとがんばればよかった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dù đã đậu (sát nút) nhưng nếu cố gắng thêm một chút nữa thì kết quả đã tốt hơn.		▲▽ Đáng tiếc là không thể làm khác với hiện thực.	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
5.&nbsp;&nbsp;タクシーで<ruby>行<rp>（</rp><rt>い</rt><rp>）</rp></ruby>けばよかった。そうすれば<ruby>間<rp>（</rp><rt>ま</rt><rp>）</rp></ruby>に<ruby>合<rp>（</rp><rt>あ</rt><rp>）</rp></ruby>ったかもしれない。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Nếu đi bằng taxi thì đã tốt. Nếu làm như vậy rất có thể đã kịp giờ.		▲▽ Đáng tiếc là không thể làm khác với hiện thực.	～ば／たら／と。。。たい／のに／よかった　など		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-10.html
