たまる	たまる	777	たまる		[sound:yomichan_audio_たまる_溜まる.mp3]	lưu trữ, tích tụ																<ol><li> ｛お 金[かね]／ 水[みず]／ごみ／ストレス　…｝がたまる</li></ol>	<ol><li>Tích {tiền/ nước/ rác/ stress…}.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
ためる	ためる	778	ためる		[sound:yomichan_audio_ためる_溜める.mp3]	tích																<ol><li> ｛ お金[おかね]／ 水[みず]／ごみ／ストレス　…｝がためる</li><li>  宿題[しゅくだい]をためてしまい、 休[やす]みの 最後[さいご]の 日[ひ]にまとめてやった</li></ol>	<ol><li>Tích {tiền/ nước/ rác/ stress…} lại.</li><li>Dồn tất cả bài tập lại và làm vào ngày nghỉ cuối cùng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 混[ま]じる/ 交[ま]じる	まじる/まじる	779	混じる/交じる		[sound:yomichan_audio_まじる_混じる.mp3]	giao nhau, lẫn vào	HỖN GIAO			 ［ 名詞[めいし]］　＋ 交[ま]じり<br>	Danh từ + 交じり<br>											<ol><li>  女[おんな]の 子[こ]が 男[おとこ]の 子[こ]に 交[ま]じってサッカーをしている</li><li>  合格[ごうかく] 発表[はっぴょう]の 前[まえ]は、 期待[きたい]に 不安[ふあん]が 混[ま]じって 落[お]ち 着[つ]かなかった</li><li>  白髪[しらが] 交[ま]じり、 英語[えいご] 交[ま]じり、 冗談[じょうだん] 交[ま]じり</li></ol>	<ol><li>Cả con trai lẫn con gái đang chơi đá bóng.</li><li>Trước khi có kết quả thi, tôi không thể bình tĩnh, nỗi bất an và sự kì vọng xen lẫn nhau.</li><li>Pha lẫn tóc bạc, pha tiếng Anh, pha lẫn trò đùa.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 混[ま]ざる/ 交[ま]ざる	まざる/まざる	780	混ざる/交ざる		[sound:yomichan_audio_まざる_混ざる.mp3]	trộn vào	HỖN GIAO															<ol><li>  男女[だんじょ]が 交[ま]ざってサッカーをした</li><li>  材料[ざいりょう]が 十分[じゅうぶん] 混[ま]ざっていないと、おいしいケーキはできない</li><li>  白[しろ]いペンキに 青[あお]が 混[ま]ざって、 水色[みずいろ]になってしまった</li></ol>	<ol><li>Cả nam nữ hòa  vào nhau chơi đá bóng.</li><li>Nếu nguyên liệu không trộn đều thì bánh sẽ không ngon.</li><li>Trộn sơn trắng với sơn màu xanh sẽ được màu nước.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 混[ま]ぜる/ 交[ま]ぜる	まぜる/まぜる	781	混ぜる/交ぜる		[sound:yomichan_audio_まぜる_混ぜる.mp3]	trộn lẫn	HỖN GIAO			 かき＿<br>	Trộn<br>											<ol><li> お 米[こめ]に 豆[まめ]を 交[ま]ぜてたいた</li><li>  彼[かれ]は 日本語[にほんご]と 中国語[ちゅうごくご]を 交[ま]ぜて 話[はな]す</li><li>  赤[あか]と 黄色[きいろ]を 混[ま]ぜるとオレンジ 色[いろ]になる</li><li> 「さとうを 入[い]れてよく 混[ま]ぜてください」</li></ol>	<ol><li>Trộn gạo lẫn với đậu.</li><li>Anh ấy nói lẫn cả tiếng Nhật với tiếng Trung.</li><li>Màu đỏ trộn với màu vàng ra màu cam.</li><li>*Cho đường vào và khuấy đều tay.*</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 解[と]ける/ 溶[と]ける	とける/とける	782	解ける/溶ける		[sound:yomichan_audio_とける_解ける.mp3]	giải quyết, tan	GIẢI DUNG															<ol><li> ３ 時間[じかん]かかって、やっと 問題[もんだい]が 解[と]けた</li><li>  長[なが]い 間[あいだ]の 疑問[ぎもん]が 解[と]けた</li><li>  春[はる]になって 雪[ゆき]がとけた</li><li> この 洗剤[せんざい]は 冷[つめ]たい 水[みず]に 溶[と]けにくい</li></ol>	<ol><li>Mất 3 tiếng cuối cùng cũng giải quyết xong vấn đề.</li><li>Đã giải quyết được nghi vấn trong thời gian dài.</li><li>Đến mùa xuân thì tuyết tan.</li><li>Nước tẩy này khó tan trong nước lạnh.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 解[と]く/ 溶[と]く/ 溶[と]かす	とく/とく/とかす	783	解く/溶く/溶かす		[sound:yomichan_audio_とく_解く.mp3]	giải quyết, tan	GIẢI DUNG															<ol><li>  数学[すうがく]の 問題[もんだい]を 解[と]く</li><li>  電子[でんし]レンジでバターをとかす</li><li> コーヒーにさとうを 溶[と]かす</li><li>  卵[たまご]をといてフライパンに 流[なが]す</li></ol>	<ol><li>Giải quyết vấn đề của bài toán.</li><li>Làm chảy bơ trong lò vi sóng.</li><li>Làm tan đường trong cà phê.</li><li>Đánh trứng rồi cho vào chảo.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 含[ふく]む	ふくむ	784	含む		[sound:yomichan_audio_ふくむ_含む.mp3]	bao gồm, chứa	HÀM															<ol><li> レモンはビタミンCを 多[おお]くふくんでいる</li><li> この 値段[ねだん]には 消費[しょうひ] 税[ぜい]がふくまれている</li></ol>	<ol><li>Quả chanh chưa nhiều vitamin C.</li><li>Giá này đã bao gồm thuế tiêu dùng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 含[ふく]める	ふくめる	785	含める		[sound:yomichan_audio_ふくめる_含める.mp3]	bao gồm	HÀM															<ol><li> うちの 家族[かぞく]は、 私[わたし]をふくめて５ 人[にん]です</li><li>  毎日[まいにち]の 昼食[ちゅうしょく] 代[だい]は、 飲[の]み 物[もの]もふくめると１０００ 円[えん]ぐらいだ</li></ol>	<ol><li>Gia đình tôi bao gồm cả tôi là 5 người.</li><li>Tiền ăn trưa hằng ngày bao gồm cả đồ uống thì khoảng 1000 yên.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 抜[ぬ]ける	ぬける	786	抜ける		[sound:yomichan_audio_ぬける_抜ける.mp3]	tháo, tuột	BẠT							  飛[と]ぶ<br>	Tháo, tuột<br>							<ol><li>  髪[かみ]の 毛[け]が 抜[ぬ]ける</li><li> タイヤの 空気[くうき]が 抜[ぬ]けた</li><li> この 書類[しょるい]は3ページ 目[め]が 抜[ぬ]けている</li><li>  中村[なかむら] 選手[せんしゅ]が 抜[ぬ]けて、チームが 弱[よわ]くなった</li></ol>	<ol><li>Tóc rụng.</li><li>Thủng lốp xe.</li><li>Tài liệu này thiếu trang thứ 3.</li><li>Thiếu tuyển thủ Nakamura đội trở nên yếu.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
 抜[ぬ]く	ぬく	787	抜く		[sound:yomichan_audio_ぬく_抜く.mp3]	lấy ra, nhổ, cho qua, bỏ, thư giãn (cơ thể)	BẠT															<ol><li>  虫歯[むしば]を 抜[ぬ]く</li><li> ビールのせんを 抜[ぬ]く</li><li>  体[からだ]の 力[ちから]を 抜[ぬ]く</li><li>  朝食[ちょうしょく]を 抜[ぬ]く</li><li> マラソンで、 前[まえ]の3 人[にん]を 抜[ぬ]いて、トップになった</li></ol>	<ol><li>Nhổ răng sâu.</li><li>Mở nắp chai bia.</li><li>Thả lỏng người.</li><li>Bỏ cơm sáng.</li><li>Vượt qua 3 người đằng trước vươn lên đứng top trong cuộc thi chạy.</li></ol>	https://www.vnjpclub.com/mimi-kara-n3-goi/unit-10-bai-7.html	
