 届[とど]く	とどく	411	届く		[sound:yomichan_audio_とどく_届く.mp3]	được giao, chạm tới, với tới	GIỚI															  父[ちち]から 手紙[てがみ]が 届[とど]いた<br>  本棚[ほんだな]の 上[うえ]のほうに 手[て]が 届[とど]かない<br>	Bức thư của bố được giao đến.<br>Không chạm tay đến phía trên giá sách được.<br>		
 届[とど]ける	とどける	412	届ける		[sound:yomichan_audio_とどける_届ける.mp3]	giao đến, chuyển đến, đến trình báo	GIỚI													  届[とどけ]→　＝＿を 出[だ]す<br>	Gửi, giao tới<br>	  隣[となり]の 家[いえ]に 旅行[りょこう]のおみやげを 届[とど]けた<br> 「 住所[じゅうしょ]が 変[か]わった 場合[ばあい]は、すぐに 学校[がっこう]に 届[とど]けてください」<br>	Giao quà du lịch đến nhà bên cạnh.<br>Trường hợp mà thay đổi địa chỉ thì ngay lập tức thông báo cho nhà trường biết.<br>		
かく	かく	413	かく		[sound:yomichan_audio_かく_書く.mp3]	gãi (đầu), toát (mồ hôi)																  頭[あたま]をかく<br> かゆいところをかいたら 血[ち]が 出[で]てきた<br> ｛あせ／いびき　…｝をかく<br> はじをかく<br>	Gãi đầu.<br>Tôi gãi vào chỗ ngứa thì đã chảy máu.<br>Đổ mồ hôi, ngáy.<br>Xấu hổ.<br>		
つかむ	つかむ	414	つかむ		[sound:yomichan_audio_つかむ_掴む.mp3]	cầm nắm, tóm được, nắm bắt (cơ hội, ý nghĩa)																  電車[でんしゃ]で 突然[とつぜん] 腕[うで]をつかまれてびっくりした<br> コンテストで 優勝[ゆうしょう]して、 歌手[かしゅ]になるチャンスをつかんだ<br>  宝[たから]くじが 当[あ]たって、 大金[たいきん]をつかんだ<br> この 文章[ぶんしょう]は 難[むずか]しくて、 意味[いみ]がつかみにくい<br>	Ở trên tàu bỗng nhiên tay bị ai đó nắm cánh tay, giật hết cả mình.<br>Tôi chiến thắng trong cuộc thi và nắm được cơ hội trở thành ca sĩ.<br>Trúng xổ số và giành được một khoản tiền lớn.<br>Câu văn này rất khó nên việc nắm bắt ý cũng rất vất vả.<br>		
 握[にぎ]る	にぎる	415	握る		[sound:yomichan_audio_にぎる_握る.mp3]	túm, nắm	ÁC									 にぎり（ずし）、おにぎり<br>	Cơm nắm sushi, cơm nắm<br>					  子[こ]どもはこわがって 母親[ははおや]の 手[て]を 強[つよ]くにぎった<br>  母[はは]はカラオケが 大好[だいす]きで、マイクをにぎると 離[はな]さない<br>  赤[あか]ちゃんがベッドの 上[うえ]で、 手[て]をにぎったり 開[ひら]いたりしている<br>	Đứa trẻ tỏ vẻ sợ hãi nắm chặt lấy tay mẹ.<br>Mẹ tôi rất thích karaoke, nắm được mic cái thì không bỏ tay luôn.<br>Bên trên giường ngủ, em bé cứ nắm tay lại rồi lại mở mắt ra.<br>		
 押[お]さえる	おさえる	416	押さえる		[sound:yomichan_audio_おさえる_押さえる.mp3]	nắm bắt, giữ	ÁP															 あの 人[ひと]はおなかを 押[お]さえて 座[すわ]っている。 腹痛[ふくつう]だろうか<br>  後[うし]ろの 人[ひと]のためにドアを 押[お]さえて 待[ま]った<br>	Người kia cứ ngồi ôm bụng. Chắc có vẻ đau bụng thì phải.<br>Tôi đã giữ cửa để đợi người phía sau.<br>		
 近[ちか]づく	ちかづく	417	近づく		[sound:yomichan_audio_ちかづく_近づく.mp3]	lại gần	CẬN															  目的地[もくてきち]｛が／に｝ 近[ちか]づいてきた<br>  台風[たいふう]が 日本[にほん] 列島[れっとう]に 近[ちか]づく<br>  春休[はるやす]みが 近[ちか]づいてきた<br>  帰国[きこく]の 日[ひ]が 近[ちか]づき、 忙[いそが]しい<br>	Dần tiến gần địa điểm đích.<br>Cơn bão sắp đến quần đảo Nhật Bản.<br>Kì nghỉ xuân sắp tới rồi!.<br>Sắp đến ngày về nước, bận thật ấy.<br>		
 近[ちか]づける	ちかづける	418	近づける		[sound:yomichan_audio_ちかづける_近づける.mp3]	mang, đưa đến gần	CẬN															  車[くるま]を 道[みち]のわきに 近[ちか]づける<br>  絵[え]に 顔[かお]を 近[ちか]づけてよく 見[み]る<br>	Lái xe tiến vào gần đoạn rẽ.<br>Mặt nhìn sát vào bức tranh.<br>		
 合[あ]う	あう	419	合う		[sound:yomichan_audio_あう_合う.mp3]	hợp, khớp	HỢP															 ふと 顔[かお]を 上[あ]げると、 先生[せんせい]と 目[め]が 合[あ]ってしまった<br>  彼女[かのじょ]とは｛ 意見[いけん]／ 話[はなし]／ 趣味[しゅみ]／ 気[き]　…｝が 合[あ]わない<br> このスーシに 合[あ]うネクタイがほしい<br> 「お 口[くち]に 合[あ]わないかもしれませんが、どうぞめし 上[あ]がってください」<br>  何度[なんど]やり 直[なお]しても 計算[けいさん]が 合[あ]わない<br>	Bất chợt ngẩng mặt lên thì gặp ánh mắt giáo viên.<br>Ý kiến, nói chuyện, sở thích, tâm tư không hợp với bạn gái.<br>Muốn có cái cà vạt hợp với cái áo vét này.<br>Món này có thể không hợp khẩu vị của anh nhưng xin hãy dùng bữa.<br>Tính toán mấy lần mà vẫn không đúng.<br>		
 合[あ]わせる	あわせる	420	合わせる		[sound:yomichan_audio_あわせる_合わせる.mp3]	hợp, chỉnh (đồng hồ)	HỢP			  答[こた]え 合[あ]わせ、 組[く]み 合[あ]わせ<br>	Đọ đáp án/ lắp ghép lại, liên kết lại.<br>											 みんなで 力[ちから]を 合[あ]わせてがんばりましょう<br>  手[て]を 合[あ]わせて 祈[いの]る<br>  中年[ちゅうねん]の 私[わたし]には、 若[わか]い 学生[がくせい]たちと／に 話[はなし]を 合[あ]わせるのは 難[むずか]しい<br>  新[あたら]しいスーシに 合[あ]わせてくつとバッグも 買[か]った<br> テレビを 見[み]て 時計[とけい]の 時間[じかん]を 合[あ]わせた<br>	Mọi người cùng chung sức cố gắng nhé.<br>Chắp tay cầu nguyện.<br>Tôi lúc trung niên thì nói chuyện hợp với các học sinh trẻ là điều rất khó khăn.<br>Cái túi và đôi giày mới mua này rất hợp với bộ vét này.<br>Tôi xem tivi để chỉnh giờ cho đồng hồ.<br>		
 当[あ]たる	あたる	421	当たる		[sound:yomichan_audio_あたる_当たる.mp3]	bị đánh, trúng	ĐƯƠNG/ĐÁNG					 はずれる<br>	Trượt<br>							 あたり→ 大[おお]＿<br>	Trúng lớn<br>	 ボールが 当[あ]たって 窓[まど]がラスが 割[わ]れた<br> ｛ 天気[てんき] 予報[よほう]／かん／ 宝[たから]くじ｝が 当[あ]たる<br>  矢[や]が 的[まと]に 当[あ]たる<br> うちの 南側[みなみがわ]に 大[おお]きなビルが 建[た]ったので、 日[ひ]が 当[あ]たらなくなった<br> １ 回戦[かいせん]で 去年[きょねん]の 優勝[ゆうしょう]チームと 当[あ]たることになった<br>	Quả bóng này đập vào cái cửa sổ thế là kính vỡ.<br>Dự báo thời tiết đúng/ linh cảm đúng/ trúng xổ số.<br>Mũi tên trúng đích.<br>Phía nam ngôi nhà đã xây một ngôi nhà to nên bi che mất ánh nắng mặt trời.<br>Đã phải đối mặt với đội vô địch năm ngoái ngay vòng đầu tiên.<br>		
