 返[かえ]る	かえる	439	返る		[sound:yomichan_audio_かえる_返る.mp3]	trả về	PHẢN															  友[とも]だちに 貸[か]したお 金[かね]が 返[かえ]ってきた<br>	Tiền cho bạn vay đã được trả lại.<br>		
 返[かえ]す	かえす	440	返す		[sound:yomichan_audio_かえす_返す.mp3]	trả lại	PHẢN															 この 本[ほん]は２ 週間[しゅうかん] 以内[いない]に 図書館[としょかん]に 返[かえ]さなければならない<br>  使[つか]い 終[お]わったものはもとの 場所[ばしょ]に 返[かえ]してください<br>	Trong vòng hai tuần phải trả lại sách cho thư viện.<br>Đồ sau khi sử dụng xong xin hãy trả lại vị trí ban đầu.<br>		
 譲[ゆず]る	ゆずる	441	譲る		[sound:yomichan_audio_ゆずる_譲る.mp3]	bàn giao, chuyển nhượng	NHƯỢNG															  電車[でんしゃ]の 中[なか]で、お年よりに 席[せき]をゆずった<br>  帰国[きこく]するので、 家具[かぐ]を 友[とも]だちに 安[やす]くゆずった<br>  財産[ざいさん]を 子[こ]どもにゆずる<br>  彼[かれ]は 社長[しゃちょう]の 地位[ちい]を 息子[むすこ]にゆずって、 引退[いんたい]した<br>	Trong xe điện tôi đã nhường ghế cho cụ già.<br>Vì sắp về nước tôi nhượng rẻ lại đồ đạc cho bạn.<br>Bàn giao tài sản cho con.<br>Anh ấy nhượng lại vị trí giám đốc cho con trai, sau đó về hưu rồi.<br>		
 助[たす]かる	たすかる	442	助かる		[sound:yomichan_audio_たすかる_助かる.mp3]	được cứu giúp, đỡ quá, may quá	TRỢ															  飛行機[ひこうき]が 落[お]ちたが、３ 人[にん]が 助[たす]かった<br> このへんは 物価[ぶっか]が 安[やす]くてとても 助[たす]かる<br> 「その 書類[しょるい]、コピーしましょうか」「ありがとう、 助[たす]かります」<br>	Máy bay rơi, có ba người sống sót.<br>Ở vùng này giá cả rẻ nên rất có lợi.<br>*Tôi photo giúp tài liệu này nhé.* - *Cảm ơn,thế thì thật là tốt.*<br>		
 助[たす]ける	たすける	443	助ける		[sound:yomichan_audio_たすける_助ける.mp3]	cứu, giúp	TRỢ							  救助[きゅうじょ]する<br>	Cứu trợ<br>					  助[たす]け→　＿を｛ 呼[よ]ぶ／ 求[もと]める｝<br>	Sự trợ giúp → gọi, cầu cứu sự trợ giúp<br>	  川[かわ]に 落[お]ちた 子[こ]どもを 助[たす]けた<br> 「だれか 助[たす]けてー」<br>  困[こま]っているとき、 友[とも]だちが 助[たす]けてくれた<br> お 年[とし]よりがバスを 降[お]りるのを 助[たす]けてあげた<br>	Cứu đứa trẻ bị rơi xuống sông.<br>*Ai đó cứu với!*.<br>Khi khó khăn bạn bè đã giúp đỡ tôi.<br>Giúp đỡ người già xuống xe bus.<br>		
いじめる	いじめる	444	いじめる		[sound:yomichan_audio_いじめる_苛める.mp3]	bắt nạt, chọc ghẹo														 いじめ→　＿がある &lt;=&gt; ない、 弱[よわ]いもの＿<br>	Có( không có) sự bắt nạt, bắt nạt kẻ yếu<br>	  弟[おとうと]／ネコ　…｝をいじめる<br>	Bắt nạt em, bắt nạt con mèo….<br>		
だます	だます	445	だます		[sound:yomichan_audio_だます_騙す.mp3]	lừa gạt																  彼[かれ]は「 独身[どくしん]だ」とだまして５ 人[にん]の 女性[じょせい]とつきあっていた<br> ブランド 品[ひん]だと 思[おも]ったらにせものだった。だまされた<br>	Anh ta nói dối rằng độc thân và cặp kè cùng lúc 5 cô gái.<br>Cứ nghĩ là hàng hiệu nhưng lại là hàng giả. Bị lừa rồi.<br>		
 盗[ぬす]む	ぬすむ	446	盗む		[sound:yomichan_audio_ぬすむ_盗む.mp3]	ăn trộm, ăn cắp	ĐẠO													 ぬすみ→　＿を｛する／はたらく｝<br>	Ăn trộm.<br>	  留守中[るすちゅう]にどろぼうに 入[はい]られて、お 金[かね]をぬすまれてしまった<br>	Khi vắng nhà thì bị kẻ trộm lẻn vào, lấy cắp mất tiền.<br>		
 刺[さ]さる	ささる	447	刺さる		[sound:yomichan_audio_ささる_刺さる.mp3]	mắc, hóc, đâm	THÍCH/THỨ															  指[ゆび]にとげが 刺[さ]さって 痛[いた]い<br>  死体[したい]にナイフが 刺[さ]さっていた<br>	Gai đâm vào ngón tay đau quá.<br>Con dao đang cắm (kẹt) vào thi thể.<br>		
 刺[さ]す	さす	448	刺す		[sound:yomichan_audio_さす_刺す.mp3]	cắn, hút, chích, đâm, thọc	THÍCH/THỨ															  指[ゆび]にとげが 刺[さ]してしまった<br>  歩[ある]いていたら、いきなり 知[し]らない 男[おとこ]に 刺[さ]された<br>	Đâm gai vào ngón tay.<br>Khi đang đi bộ đột nhiên bị đâm bởi người đàn ông lạ mặt.<br>		
 殺[ころ]す	ころす	449	殺す		[sound:yomichan_audio_ころす_殺す.mp3]	giết, sát hại	SÁT									  殺人[さつじん]、 自殺[じさつ]<br>	Sát nhân, tự sát<br>			  殺[ころ]し<br>	Giết<br>	 ゴキブリをスリッパでたたいて 殺[ころ]した<br>  戦争[せんそう]で、 多[おお]くの 人[ひと]が 殺[ころ]された<br>	Dùng dép đập chết con gián.<br>Nhiều người bị chết do chiến tranh.<br>		
