expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 最[もっと]も	もっとも	511	最も		[sound:yomichan_audio_もっとも_最も.mp3]	nhất, vô cùng	TỐI							  一番[いちばん]<br>	<br>							<ol><li>  世界[せかい]で 最[もっと]も 面積[めんせき]の 広[ひろ]い 国[くに]はロシアである。</li></ol>	<ol><li>Trên thế giới đất nước có diện tích lớn nhất là nước Nga.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
ほぼ	ほぼ	512	ほぼ		[sound:yomichan_audio_ほぼ_略.mp3]	gần như, hầu như																<ol><li>  新[あたら]しいビルはほぼ 完成[かんせい]した。</li><li> イベント 会場[かいじょう]の 準備[じゅんび]はほぼ 終[お]わった。</li><li>  式[しき]はほぼ 予定[よてい] 通[どお]りに 進行[しんこう]している。</li><li>  客席[きゃくせき]はほぼ 満員[まんいん]だった。</li></ol>	<ol><li>Tòa nhà mới đã gần như xây xong.</li><li>Chuẩn bị cho hội trường sự kiện gần như đã xong.</li><li>Lễ nghi đang tiến triển gần như theo dự định.</li><li>Khách hàng gần như đã đến đầy đủ.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 相当[そうとう]	そうとう	513	相当		[sound:yomichan_audio_そうとう_相当.mp3]	đáng kể	TƯƠNG/TƯỚNG ĐƯƠNG/ĐÁNG							 かなり<br>	<br>							<ol><li>  彼[かれ]の 表情[ひょうじょう]からすると、 相当[そうとう] 強[つよ]く 叱[しか]られたようだ。</li><li>  今期[こんき]は 相当[そうとう]｛な/の｝ 赤字[あかじ]になりそうだ。</li><li>  相当[そうとう]する</li></ol>	<ol><li>Từ biểu cảm của anh ấy, chắc đã bị mắng xối xả.</li><li>Kì này có vẻ khá thâm hụt.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 割[わり]に( 割[わり]と・ 割合[わりあい]に・と)	わりに(わりと・わりあいに・と)	514	割に(割と・割合に・と)		[sound:yomichan_audio_わりに_割に.mp3]	tương đối	CÁT CÁT CÁT HỢP							  比較的[ひかくてき]<br>	<br>							<ol><li>  道[みち]が 込[こ]んでいるかと 思[おも]ったら、わりにすいていた。</li><li>  今回[こんかい]のレポートは 割合[わりあい]よくかけたと 思[おも]う。</li></ol>	<ol><li>Cứ nghĩ đường sẽ đông lắm nhưng lại khá vắng.</li><li>Tôi nghĩ bài báo cáo lần này viết tương đối tốt.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 多少[たしょう]	たしょう	515	多少		[sound:yomichan_audio_たしょう_多少.mp3]	một chút	ĐA THIẾU/THIỂU															<ol><li>  寒[さむ]い 日[ひ]が 続[つづ]いているが、 今日[きょう]は 多少[たしょう] 暖[あたた]かい。</li><li> 「まだ 子供[こども]なのだから、 多少[たしょう]のことは 大目[おおめ]に 見[み]てやらなくちゃ」</li><li> 「お 買[か]い 上[あ]げ 商品[しょうひん]の 多少[たしょう]にかかわらず、 無料[むりょう]でお 届[とど]けします」</li></ol>	<ol><li>Trải qua những ngày lạnh giá, hôm nay trời đã có ấm chút ít.</li><li>Vì vẫn là trẻ con nên những việc làm với nó hãy nhìn bằng ánh mắt hào hiệp hơn.</li><li>Không quan tâm sản phẩm đã mua nhiều hay ít, chúng tôi sẽ chuyển đến nhà miễn phí.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 少々[しょうしょう]	しょうしょう	516	少々		[sound:yomichan_audio_しょうしょう_少々.mp3]	một chút; một lát	THIẾU/THIỂU															<ol><li>  魚[さかな]は 水気[みずけ]を 取[と]り、 塩[しお]を 少々[しょうしょう] 降[ふ]っておきます。</li><li>  最近[さいきん] 信[しん]じられないような 事件[じけん]が 多[おお]いので、 少々[しょうしょう]のことでは 驚[おどろ]かなかった。</li><li> 「 少々[しょうしょう]お 待[ま]ちください」</li></ol>	<ol><li>Rắc một ít muối để cá không bị ẩm.</li><li>Dạo gần đây xảy ra nhiều chuyện không thể tin được nên không thấy bất ngờ với chuyện nhỏ nhặt.</li><li>Xin vui lòng đợi chút ạ.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 全[すべ]て	すべて	517	全て		[sound:yomichan_audio_すべて_全て.mp3]	mọi thứ	TOÀN							  全部[ぜんぶ]、みんな<br>	<br>							<ol><li>  問題[もんだい]はすべて 解決[かいけつ]した。</li><li> すべて 観客[かんきゃく]が 立[た]ち 上[あ]がって 拍手[はくしゅ]した。</li><li>  会議[かいぎ] 出席者[しゅっせきしゃ]のすべてがその 案[あん]に 賛成[さんせい]した。</li><li>  日本[にほん]に 来[き]たばかりのころは、 見[み]る 物[もの]すべてが 珍[めずら]しかった。</li></ol>	<ol><li>Vấn đề đã giải quyết hoàn toàn.</li><li>Tất cả khán giả đã đứng dậy và vỗ tay.</li><li>Những người tham gia hội nghị hoàn toàn đồng ý với dự án đó.</li><li>Lúc mới đầu đến Nhật Bản, nhìn thứ gì cũng hiếm lạ cả.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 何[なに]もかも	なにもかも	518	何もかも		[sound:yomichan_audio_なにもかも_何もかも.mp3]	toàn bộ, mọi thứ	HÀ							 すべて、 全部[ぜんぶ]<br>	<br>							<ol><li>  何[なに]もかも 捨[す]てて 人生[じんせい]をやり 直[なお]したい。</li><li>  火事[かじ]で 何[なに]もかも 失[うしな]った。</li><li>  来日[らいにち]したばかりのころは、 何[なに]もかもが 新鮮[しんせん]だった。</li></ol>	<ol><li>Muốn vứt bỏ mọi thứ để làm lại cuộc sống.</li><li>Vì trận hỏa hoạn mà đã mất hết tất cả.</li><li>Lúc vừa mới sang Nhật, mọi thứ đều mới lạ.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
たっぷり	たっぷり	519	たっぷり		[sound:yomichan_audio_たっぷり.mp3]	đủ, nhiều				  愛情[あいじょう]＿、 栄養[えいよう]＿、 自信[じしん]＿<br>	<br>			 たくさん、 一杯[いっぱい]、 十分[じゅうぶん]、ゆったりした<br>	<br>							<ol><li>  時間[じかん]がたっぷりあるから、 急[いそ]がなくてもいい。</li><li> たっぷり 寝[ね]たら、 疲[つか]れが 取[と]れた。</li><li>  栄養[えいよう]たっぷりの 料理[りょうり]</li><li> うちから 駅[えき]までどんなに 急[いそ]いでも、たっぷり15 分[ふん]はかかる。</li><li>  私[わたし]はぴったりした 服[ふく]より、たっぷりした 服[ふく]の 方[ほう]が 好[す]きだ。</li></ol>	<ol><li>Có đủ thời gian nên không cần phải vội vàng đâu.</li><li>Nếu ngủ đủ giấc thì sẽ trút hết mệt mỏi.</li><li>Thức ăn đầy đủ chất dinh dưỡng.</li><li>Từ nhà đến nhà ga dù có vội vàng đến đâu cũng mất tối thiểu 15 phút.</li><li>Tôi thích có nhiều áo quần hơn là có đủ áo quần.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 出来[でき]るだけ	できるだけ	520	出来るだけ		[sound:yomichan_audio_できるだけ_出来るだけ.mp3]	trong khả năng có thể, càng ~ càng	XUẤT LAI									 なるべく<br>	<br>					<ol><li> 「できるだけ 早[はや]くお 返事[へんじ]ください」</li><li>  子供[こども]には、できるだけのことはしてやりたい。</li></ol>	<ol><li>Nếu được thì hãy trả lời sớm cho tôi.</li><li>Tôi muốn làm cho con cái những gì tôi có thể làm.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 次第[しだい]に	しだいに	521	次第に		[sound:yomichan_audio_しだいに_次第に.mp3]	dần dần	THỨ ĐỆ									  徐々[じょじょ]に、 少[すこ]しずつ、だんだん<br>	<br>					<ol><li>  冬至[とうじ]を 過[す]ぎると、 日[ひ]が 次第[しだい]に 長[なが]くなる。</li><li>  景気[けいき]は 次第[しだい]に 良[よ]くなっているようだ。</li></ol>	<ol><li>Qua đông chí thì ngày trở nên dài hơn.</li><li>Kinh tế đang có vẻ dần dần tốt hơn.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 徐々[じょじょ]に	じょじょに	522	徐々に		[sound:yomichan_audio_じょじょに_徐々に.mp3]	dần dần, từ từ, từng chút một	TỪ									  次第[しだい]に、 少[すこ]しずつ、だんだん<br>	<br>					<ol><li>  車[くるま]は 徐々[じょじょ]にスピードを 落[お]とし、やがて 止[と]まった。</li><li>  病人[びょうにん]は 徐々[じょじょ]に 回復[かいふく]に 向[む]かっている。</li><li>  新[あたら]しい 生活[せいかつ]にも 徐々[じょじょ]に 慣[な]れてきた。</li></ol>	<ol><li>Ô tô hạ tốc độ dần dần và cuối cùng dừng lại.</li><li>Bệnh nhân đang có chiều hướng hồi phục dần dần.</li><li>Tôi đã dần dần quen với cuộc sống mới.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 更[さら]に	さらに	523	更に		[sound:yomichan_audio_さらに_更に.mp3]	hơn nữa, ngoài ra	CANH							 もう 一度[いちど]、 重[かさ]ねて、その 上[うえ]<br>	<br>							<ol><li> 7 月[がつ]も 暑[あつ]かったが、8 月[がつ]になるとさらに 暑[あつ]さが 増[ま]した。</li><li> リストラが 進[すす]み、 仕事[しごと]はさらに 忙[いそが]しくなった。</li><li>  一度[いちど] 断[ことわ]られたのだが、さらに 頼[たの]んでみることにした。</li><li>  朝[あさ]から 雨[あめ]が 降[ふ]っていたのだが、さらに 夕方[ゆうがた]からは 雷[かみなり]まで 鳴[な]り 出[だ]した。</li></ol>	<ol><li>Tháng 7 đã nóng rồi, đến tháng 8 sẽ lại nóng hơn.</li><li>Tiến triển cơ cấu, làm cho công việc bận rộn hơn.</li><li>Một lần bị từ chối rồi nhưng tôi đã quyết định nhờ lần nữa.</li><li>Từ sáng đã có mưa, đến chiều sẽ có sấm chớp.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
 一層[いっそう]	いっそう	524	一層		[sound:yomichan_audio_いっそう_一層.mp3]	hơn nữa, thêm, tăng lên	NHẤT TẦNG							 もっと、さらに<br>	<br>							<ol><li>  夜[よる]になって、 風雨[ふうう]は 一層[いっそう] 激[はげ]しくなった。</li><li> 「 今後[こんご]の 一層[いっそう]の 努力[どりょく]を 期待[きたい]します」</li></ol>	<ol><li>Đến tối mưa gió sẽ trở nên mạnh hơn.</li><li>Tôi kì vọng lần sau sẽ nổ lực nhiều hơn.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-6-bai-1.html	
