expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 人生[じんせい]	じんせい	1	人生		[sound:yomichan_audio_じんせい_人生.mp3]	cuộc sống	NHÂN SINH	 ＿を 送[おく]る<br>	<br>	 ＿ 経験[けいけん]、＿ 観[かん]<br>	<br>			  一生[いっしょう]、 生涯[しょうがい]<br>	<br>							<ol><li>  幸[しあわ]せな 人生[じんせい]を 送[おく]る。</li><li>  人生[じんせい] 経験[けいけん]が 豊富[ほうふ]な 人[ひと]の 話[はなし]は 面白[おもしろ]い。</li></ol>	<ol><li>Sống cuộc sống hạnh phúc.</li><li>Những câu chuyện của những người có kinh nghiệm sống phong phú rất thú vị.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 人間[にんげん]	にんげん	2	人間		[sound:yomichan_audio_にんげん_人間.mp3]	con người	NHÂN GIAN			 ＿らしい<br>	<br>			  人類[じんるい]<br>  人[ひと]、 人物[じんぶつ]<br>	<br><br>							<ol><li>  人間[にんげん]はみんな、 平等[びょうどう]である。</li><li> この 殺人[さつじん] 犯[はん]に 人間[にんげん]らしい 心[こころ]はないのだろうか。</li><li> あんなの 大[おお]きな 失敗[しっぱい]をした 社員[しゃいん]を 首[くび]にしない、うちの 社員[しゃいん]は 人間[にんげん]はできている。</li><li> どんな 人間[にんげん]かわからない 人[ひと]を 信用[しんよう]してはいけない。</li></ol>	<ol><li>Là con người, mọi người đều bình đẳng.</li><li>Tội phạm giết người đó có lẽ là con người không có trái tim rồi.</li><li>Không đuổi việc một nhân viên gây ra thất bại lớn như vậy, nhân viên công ty tôi đúng là biết nhìn người.</li><li>Không được tin tưởng một người khi không hiểu họ là con người thế nào.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 人[ひと]	ひと	3	人		[sound:yomichan_audio_ひと_人.mp3]	người	NHÂN							  人間[にんげん]、 人類[じんるい]<br>	<br>							<ol><li> 「 佐藤[さとう]さんという 人[ひと]から 電話[でんわ]がありましたよ」</li><li> この 店[みせ]は 裕福[ゆうふく]な 人[ひと] 達[たち]が 買[か]い 物[もの]に 来[く]る。</li><li> 「 若[わか]い 人[ひと]は 元気[げんき]でいいね」</li><li>  人[ひと]は 酸素[さんそ]がなければ 生[い]きられない。</li></ol>	<ol><li>Có cuộc điện thoại từ  chị Satou đấy ạ.</li><li>Những người giàu họ đến cửa hàng đó để mua sắm.</li><li>Giới trẻ khỏe mạnh thật là tốt nhỉ.</li><li>Con người không thể sống nếu không có oxi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 祖先[そせん]	そせん	4	祖先		[sound:yomichan_audio_そせん_祖先.mp3]	tổ tiên	TỔ TIÊN									  先祖[せんぞ]、 子孫[しそん]<br>	<br>					<ol><li>  人類[じんるい]の 祖先[そせん]は、アフリカで 発生[はっせい]したと 考[かんが]えられている。</li><li> うちの 祖先[そせん]は 武士[ぶし]だったらしい。</li></ol>	<ol><li>Tổ tiên của loài người phát triển từ Châu Phi.</li><li>Tổ tiên nhà tôi nghe nói là võ sĩ đấy.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 親戚[しんせき]	しんせき	5	親戚		[sound:yomichan_audio_しんせき_親戚.mp3]	họ hàng	THÂN THÍCH									  親類[しんるい]、 親族[しんぞく]<br>	<br>					<ol><li> うちの 親戚[しんせき]はみな 近[ちか]くで 住[す]んでいる。</li><li>  彼女[かのじょ]は 私[わたし]の 遠[とお]い 親戚[しんせき]にあたる。</li></ol>	<ol><li>Họ hàng nhà tôi đều sống gần đây.</li><li>Cô ấy là họ hàng xa với tôi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 夫婦[ふうふ]	ふうふ	6	夫婦		[sound:yomichan_audio_ふうふ_夫婦.mp3]	vợ chồng	PHU PHỤ	 ＿になる、お 似合[にあ]いの＿<br>	<br>	 ＿ 愛[あい]、＿ 仲[なか]、＿ 喧嘩[けんか]<br>	<br>					  夫妻[ふさい]、 婦人[ふじん]<br>	<br>					<ol><li>  小林[こばやし]さんは 夫婦[ふうふ]はいつも 仲[なか]がいい。</li><li>  二人[ふたり]は 結婚[けっこん]して 夫婦[ふうふ]になった。</li></ol>	<ol><li>Mối quan hệ của vợ chồng anh Kobayashi lúc nào cũng tốt.</li><li>Hai người họ kết hôn và trở thành vợ chồng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 長男[ちょうなん]	ちょうなん	7	長男		[sound:yomichan_audio_ちょうなん_長男.mp3]	trưởng nam	TRƯỜNG/TRƯỞNG NAM									  次男[じなん]、 三男[さんなん]、 長女[ちょうじょ]、 次女[じじょ]、 三女[さんじょ]、 末[すえ]っ 子[こ]<br>	<br>					<ol><li>  日本[にほん]では、 長男[ちょうなん]は 大事[だいじ]にされる 傾向[けいこう]があった。</li></ol>	<ol><li>Ở Nhật Bản, trưởng nam có khuynh hướng được coi trọng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 主人[しゅじん]	しゅじん	8	主人		[sound:yomichan_audio_しゅじん_主人.mp3]	chồng, chủ tiệm	CHỦ NHÂN					  従業員[じゅうぎょういん]<br>	<br>			 マスター<br>	<br>					<ol><li> あのそばやの 主人[しゅじん]はまだ 若[わか]いが、 腕[うで]はいい。</li><li>  犬[いぬ]は 主人[しゅじん]に 忠実[ちゅうじつ]だと 言[い]われる。</li><li>  主人[しゅじん]に 仕[つか]える。</li><li> 「 鈴木[すずき]さんのご 主人[しゅじん]をご 存知[ぞんじ]ですか」</li></ol>	<ol><li>Chủ cửa hàng mì Soba kia tuy còn trẻ nhưng tay nghề rất tốt.</li><li>Loài chó được cho là trung thành với con người.</li><li>Phục vụ chồng.</li><li>Anh (chị) biết chồng của chị Suzuki không?</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 双子[ふたご]	ふたご	9	双子		[sound:yomichan_audio_ふたご_双子.mp3]	sinh đôi	SONG TỬ							  双生児[そうせいじ]<br>	<br>							<ol><li>  私[わたし]には 双子[ふたご]の 弟[おとうと]がいます。</li></ol>	<ol><li>Tôi có người em sinh đôi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
 迷子[まいご]	まいご	10	迷子		[sound:yomichan_audio_まいご_迷子.mp3]	trẻ bị lạc	MÊ TỬ	 ＿になる<br>	<br>													<ol><li> （アナウンス）「 迷子[まいご]のお 知[し]らせをいたします」</li><li>  東京駅[とうきょうえき]は 広[ひろ]くて 迷子[まいご]になりそうだ。</li></ol>	<ol><li>Thông báo tìm trẻ lạc.</li><li>Nhà ga Tokyo rất rộng tưởng chừng như sẽ lạc đấy.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-1-bai-1.html	
