しゃがむ	しゃがむ	117	しゃがむ		[sound:yomichan_audio_しゃがむ.mp3]	ngồi chơi, ngồi xổm				 しゃがみ 込[こ]む<br>	<br>											<ol><li>  子供[こども]が 道[みち]にしゃがんで 地面[じめん]の 虫[むし]を 見[み]ている。</li></ol>	<ol><li>Bọn trẻ ngồi xổm trên đường và xem côn trùng trên mặt đất.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 退[しりぞ]く	しりぞく	118	退く		[sound:yomichan_audio_しりぞく_退く.mp3]	tránh ra, thoái lui, rút lui	THOÁI															<ol><li> 「ちょっとそこをどいてください」</li></ol>	<ol><li>Tránh đường một chút nào.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 退[しりぞ]ける	しりぞける	119	退ける		[sound:yomichan_audio_のける_退ける.mp3]	đuổi khỏi, đẩy ra, làm tránh ra	THOÁI															<ol><li> 「 通行[つうこう]の 邪魔[じゃま]になるので、 自転車[じてんしゃ]を 歩道[ほどう]からどけてください」</li><li>  机[つくえ]の 上[うえ]に 積[つ]んだ 本[ほん]をわきにどけて 仕事[しごと]をした。</li></ol>	<ol><li>Cản trở giao thông nên hãy dịch chuyển xe đạp lên vỉa hè.</li><li>Tôi dịch những quyển sách chất đống trên bàn sang một bên và làm việc.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 被[こうむ]る	こうむる	120	被る		[sound:yomichan_audio_かぶる_被る.mp3]	đội	BỊ															<ol><li>  帽子[ぼうし]をかぶる。</li><li>  頭[あたま]から 水[みず]をかぶる。</li><li>  父親[ちちおや]は 子供[こども]の 罪[つみ]をかぶって 刑務所[けいむしょ]に 入[はい]った。</li></ol>	<ol><li>Đội mũ.</li><li>Dội nước lên đầu.</li><li>Bố chịu tội cho đứa con và đã vào tù.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 被[かぶ]せる	かぶせる	121	被せる		[sound:yomichan_audio_かぶせる_被せる.mp3]	phủ lên	BỊ									 ぬれぎぬを 着[き]せる<br>	<br>					<ol><li> ぬれないように、 自転車[じてんしゃ]にシートをかぶせておいた。</li><li>  人[ひと]に 罪[つみ]をかぶせるなんて、ひどい 人間[にんげん]だ。</li></ol>	<ol><li>Để không bị ướt, tôi đậy chỗ ngồi của xe đạp lại.</li><li>Người quy tội cho người khác là người xấu xa.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 齧[かじ]る	かじる	122	齧る		[sound:yomichan_audio_かじる_齧る.mp3]	nhai, cắn	NIẾT/KHIẾT															<ol><li> リンゴを 丸[まる]ごとかじる。</li><li> ネズミが 柱[はしら]をかじって 困[こま]る。</li><li>  若[わか]いころ、フランス 語[ご]をかじったことがある。</li></ol>	<ol><li>Cắn quả táo một miếng tròn.</li><li>Con chuột cắn vào cột thật là rắc rối.</li><li>Lúc còn nhỏ, tôi đã từng học tiếng Pháp.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 撃[う]つ	うつ	123	撃つ		[sound:yomichan_audio_うつ_撃つ.mp3]	bắn	KÍCH															<ol><li>  警官[けいかん]が 犯人[はんにん]をピストルで 撃[う]った。</li><li> ｛ 銃[じゅう]/ 大砲[たいほう]…｝を 撃[う]つ。</li></ol>	<ol><li>Cảnh sát dùng súng lục để bắn tội phạm.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 漕[こ]ぐ	こぐ	124	漕ぐ		[sound:yomichan_audio_こぐ_漕ぐ.mp3]	đạp xe	TÀO															<ol><li>  自転車[じてんしゃ]（のペダル）をこぐ。</li><li> ｛ 船[ふね]/ブランコ…｝をこぐ。</li></ol>	<ol><li>Đạp xe.</li><li>Chèo thuyền.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 敷[し]く	しく	125	敷く		[sound:yomichan_audio_しく_敷く.mp3]	trải ra	PHU			  敷布団[しきぶとん]、敷物、風呂敷<br>	<br>											<ol><li>  床[ゆか]にふとんを 敷[し]く。</li><li>  桜[さくら]の 下[した]にビニールシートを 敷[し]いて 花見[はなみ]をした。</li><li>  国中[くにじゅう]に 鉄道[てつどう]が 敷[し]かれている。</li><li> この 国[くに]は 軍政[ぐんせい]を 敷[し]いている。</li></ol>	<ol><li>Trải nệm ra nền nhà.</li><li>Trải tấm lót nhựa dưới cây hoa sakura và ngắm hoa.</li><li>Đường sắt trải trên khắp nước.</li><li>Đất nước này chính quyền nằm trong tay quân đội.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 注[そそ]ぐ	そそぐ	126	注ぐ		[sound:yomichan_audio_そそぐ_注ぐ.mp3]	đổ, rót	CHÚ			 つぎ 足[た]す<br>	<br>					  注[そそ]ぐ<br>	<br>					<ol><li>  水[みず]にコップをつぐ。</li><li>  茶碗[ちゃわん]にご 飯[はん]をつぐ。</li></ol>	<ol><li>Đổ nước vào cốc.</li><li>Múc cơm vào bát.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
 配[くば]る	くばる	127	配る		[sound:yomichan_audio_くばる_配る.mp3]	phân phát	PHỐI			  気配[きくば]り→＿をする、＿がある&lt;=&gt;ない<br>	<br>			  配布[はいふ]する、 配付[はいふ]する<br>	<br>							<ol><li>  先生[せんせい]が 生徒[せいと]にプリントを 配[くば]った。</li><li>  駅前[えきまえ]で 新[あたら]しい 店[みせ]のチラシを 配[くば]っている。</li><li>  服装[ふくそう]に 気[き]を 配[くば]る。</li><li>  教師[きょうし]は、 教室[きょうしつ]のすべての 学生[がくせい]に 目[め]を 配[くば]ることが 必要[ひつよう]だ。</li></ol>	<ol><li>Giáo viên phát tài liệu cho học sinh.</li><li>Phát tờ rơi cho cửa hàng mới trước nhà ga.</li><li>Quan tâm đến trang phục.</li><li>Giáo viên cần thiết phải quan tâm đến tất cả học sinh trong lớp học.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-2-bai-2.html	
