kotoba	hiragana	audio	betonamu	tsukaikata	ruiji
誤り	あやまり	[sound:yomichan_audio_あやまり_誤り.mp3]	Lỗi	誤りを正す<br>誤りを具体的に示す	エラー・過ち・間違い
制御	せいぎょ	[sound:yomichan_audio_せいぎょ_制御.mp3]	Điều khiển, kiểm soát	制御装置、遠隔制御<br>運転を自動的に制御する<br>感情を制御する	コントロール
検出	けんしゅつ	[sound:yomichan_audio_けんしゅつ_検出.mp3]	Phát hiện, tìm ra	毒物が検出される<br>エラーを検出する<br>ウイルス検出プログラム	見つけ出す・見つける・検知する・探し出す
電磁波	でんじは	[sound:yomichan_audio_でんじは_電磁波.mp3]	Sóng điện từ	日常生活で知られる光や電波などは電磁波の一種である。	trống
影響	えいきょう	[sound:yomichan_audio_えいきょう_影響.mp3]	Ảnh hưởng	影響を及ばす、影響力、影響度<br>インフルエンザの影響でイベントが中止になった。<br>テレビの影響力の大きさに驚いている。	作用・差し響き・インパクト
途中	とちゅう	[sound:yomichan_audio_とちゅう_途中.mp3]	Giữa chừng	出勤途中の事故<br>食事の途中で席を立つ。<br>今、学校へ行く途中です。	最中・中
変形	へんけい	[sound:yomichan_audio_へんけい_変形.mp3]	Biến hình, biến dạng	運搬途中に箱が潰れて変形してしまった。<br>このおもちゃは変形してももとに戻る。<br>地震で家が変形してしまった。	形や状態が変わる<br>形式を変える
ビット誤り率	ビットあやまりりつ	[sound:yomichan_audio_ビットあやまりりつ_ビット誤り率.mp3]	Lỗi bit	デジタル信号を伝送すると、どうしてもビット誤りが発生する。	ビット・エラー
訂正	ていせい	[sound:yomichan_audio_ていせい_訂正.mp3]	Chỉnh sửa	誤字・間違いを訂正する<br>金額を訂正する<br>発言を訂正する<br>１．相手方に間違った締め切りを伝えてしまったため、訂正し、お詫びをする。<br>２．会社の書類に訂正印を押す。	・訂正：誤りを正しく直すこと。特に言葉や文章・文字の誤りを正しくすること。<br>・修正：不十分・不適当と思われるところを改め直すこと。より良くする、より分かりやすくする。<br>補正、加筆、リライト
trống	パリティーチェック	[sound:yomichan_audio_パリティーチェック.mp3]	Parity check (Kiểm tra chẵn lẻ)	パリティチェックとは、データの誤り検出方式の一つである。<br>入力のパリティチェックを有効にする。	trống
ハミング符号	trống	[sound:yomichan_audio_undefined_ハミング符号.mp3]	Phương thức mã Hamming	ハミング符号とは、データの伝送時に付加し、誤りを検知・訂正できる誤り訂正符号の一つである。	ハミングコードチェック
奇数パリティ	きすうパリティ	[sound:yomichan_audio_きすうパリティ_奇数パリティ.mp3]	Odd parity (Kiểm tra parity lẻ)	全体の和が奇数になるように決められる（1の数が奇数なら0、偶数なら1）ものを「奇数パリティ」という。	trống
偶数パリティ	ぐうすうパリティ	[sound:yomichan_audio_ぐうすうパリティ_偶数パリティ.mp3]	Even parity (Kiểm tra parity chẵn)	全体の和が偶数になるように決められる（ブロック中の1の数が奇数なら1、偶数なら0）ものを「偶数パリティ」という。	trống
ビット列	ビットれつ	[sound:yomichan_audio_ビットれつ_ビット列.mp3]	Chuỗi bit	各命令はビット列の形に符号化される	trống
